Country,Year,COUNTA of Full Name
,,0
 Total,,0
Afghanistan,1994,1
,1998,1
,2001,9
,2006,3
,2007,3
,2008,2
,2009,3
,2010,3
,2011,2
,2012,1
,2014,5
,2016,6
,2017,11
,2018,16
,2019,2
,2020,6
,2021,4
,2023,1
Afghanistan Total,,79
Albania,2023,1
Albania Total,,1
Algeria,1992,1
,1993,8
,1994,18
,1995,24
,1996,7
,2001,2
Algeria Total,,60
Angola,1992,1
,1993,3
,1994,1
,1995,1
,1996,1
,1998,1
,1999,1
,2010,2
Angola Total,,11
Argentina,1993,1
,1997,1
,1999,1
,2010,1
Argentina Total,,4
Armenia,2002,1
Armenia Total,,1
Azerbaijan,1992,1
,1995,1
,2005,1
,2009,1
,2011,1
,2015,1
,2021,2
Azerbaijan Total,,8
Bahrain,2011,2
,2012,1
Bahrain Total,,3
Bangladesh,1996,2
,1998,1
,2000,2
,2001,2
,2002,3
,2004,4
,2005,2
,2012,3
,2013,1
,2014,3
,2015,6
,2017,1
,2020,1
,2021,1
,2022,2
Bangladesh Total,,34
Barbados,2020,1
Barbados Total,,1
Belarus,1994,1
,2002,1
,2003,1
,2004,1
,2005,1
,2010,1
Belarus Total,,6
Bolivia,2001,1
,2008,1
,2011,1
Bolivia Total,,3
Bosnia,1992,8
,1993,9
,1994,7
,1995,1
Bosnia Total,,25
Brazil,1994,1
,1995,4
,1997,2
,1998,2
,2000,1
,2001,1
,2002,2
,2003,2
,2004,3
,2005,1
,2007,1
,2009,1
,2010,1
,2011,6
,2012,5
,2013,4
,2014,3
,2015,8
,2016,3
,2017,1
,2018,3
,2019,2
,2020,1
,2022,2
Brazil Total,,60
Bulgaria,2008,1
,2010,1
,2018,1
Bulgaria Total,,3
Burkina Faso,1998,1
,2021,2
Burkina Faso Total,,3
Burundi,1994,1
,1995,2
,2015,1
Burundi Total,,4
Cambodia,1994,3
,1996,1
,1997,3
,2003,1
,2008,1
,2012,1
,2014,2
Cambodia Total,,12
Cameroon,2010,1
,2019,1
,2023,2
Cameroon Total,,4
Canada,1995,1
,1998,1
Canada Total,,2
Central African Republic,2014,1
,2018,3
,2022,1
Central African Republic Total,,5
Chad,1992,3
,2019,1
,2022,2
Chad Total,,6
Chile,2022,1
Chile Total,,1
China,2001,1
,2006,1
,2007,1
,2010,1
,2011,1
China Total,,5
Colombia,1992,1
,1993,4
,1994,2
,1995,3
,1996,1
,1997,5
,1998,9
,1999,7
,2000,7
,2001,8
,2002,9
,2003,6
,2004,2
,2005,2
,2006,3
,2007,1
,2009,3
,2010,2
,2011,1
,2012,2
,2013,2
,2014,1
,2015,3
,2017,1
,2018,3
,2019,2
,2020,2
,2021,1
,2022,2
Colombia Total,,95
Costa Rica,2001,1
Costa Rica Total,,1
Croatia,1992,1
,1995,1
,2008,2
Croatia Total,,4
Cyprus,1996,1
Cyprus Total,,1
Democratic Republic of the Congo,1994,2
,2005,1
,2006,1
,2007,2
,2008,1
,2009,1
,2010,1
,2011,1
,2014,2
,2015,1
,2016,1
,2019,1
,2021,1
Democratic Republic of the Congo Total,,16
Denmark,2017,1
Denmark Total,,1
Dominican Republic,1995,1
,2004,1
,2008,1
,2011,1
,2017,2
Dominican Republic Total,,6
East Timor,1999,2
East Timor Total,,2
Ecuador,2005,1
,2006,1
,2012,1
,2022,1
Ecuador Total,,4
Egypt,1992,1
,1994,1
,2011,2
,2012,1
,2013,7
,2014,1
Egypt Total,,13
El Salvador,1993,1
,1997,1
,2007,1
,2009,1
,2011,1
,2016,1
El Salvador Total,,6
Eritrea,2007,2
Eritrea Total,,2
Ethiopia,1998,2
,2018,1
,2021,2
Ethiopia Total,,5
France,2001,1
,2015,9
France Total,,10
Gabon,2003,1
Gabon Total,,1
Gambia,2004,1
,2009,1
Gambia Total,,2
Georgia,1993,3
,1998,1
,2000,1
,2001,1
,2008,3
,2021,1
Georgia Total,,10
Ghana,2015,1
,2019,1
Ghana Total,,2
Greece,2010,1
,2021,1
Greece Total,,2
Guatemala,1994,1
,1995,1
,1996,2
,1997,3
,1999,1
,2000,1
,2001,1
,2003,1
,2006,1
,2007,1
,2008,2
,2009,2
,2011,1
,2013,2
,2015,2
,2016,1
,2018,1
,2020,2
,2022,1
Guatemala Total,,27
Guinea,2014,3
,2016,1
Guinea Total,,4
Haiti,1992,1
,2000,2
,2001,1
,2004,1
,2005,2
,2007,2
,2019,2
,2021,1
,2022,7
Haiti Total,,19
Honduras,1993,1
,2003,1
,2007,1
,2009,2
,2010,9
,2011,4
,2012,1
,2013,2
,2014,2
,2017,4
,2019,4
,2020,4
,2022,2
Honduras Total,,37
India,1992,3
,1993,2
,1994,1
,1995,1
,1996,2
,1997,7
,1999,3
,2000,4
,2001,1
,2002,3
,2003,3
,2004,3
,2006,2
,2007,3
,2008,5
,2009,1
,2010,3
,2011,2
,2012,4
,2013,6
,2014,2
,2015,4
,2016,5
,2017,5
,2018,5
,2019,1
,2020,2
,2021,5
,2022,2
,2023,1
India Total,,91
Indonesia,1996,1
,1997,2
,2003,2
,2006,1
,2009,1
,2010,3
,2012,1
,2018,1
,2021,1
Indonesia Total,,13
Iran,1997,1
,1998,1
,2003,1
,2009,1
,2012,1
,2020,1
Iran Total,,6
Iraq,1994,1
,2003,21
,2004,38
,2005,27
,2006,56
,2007,51
,2008,16
,2009,4
,2010,9
,2011,7
,2012,3
,2013,12
,2014,6
,2015,6
,2016,11
,2017,10
,2019,2
,2020,3
Iraq Total,,283
Ireland,1996,1
Ireland Total,,1
Israel and the Occupied Palestinian Territory,2000,1
,2001,1
,2002,3
,2003,2
,2004,1
,2007,2
,2008,1
,2009,1
,2012,2
,2014,7
,2018,2
,2021,1
,2022,1
Israel and the Occupied Palestinian Territory Total,,25
Ivory Coast,1999,1
,2003,2
,2004,1
,2011,2
Ivory Coast Total,,6
Japan,2003,1
Japan Total,,1
Kazakhstan,2004,1
,2007,1
,2009,1
,2022,1
Kazakhstan Total,,4
Kenya,2000,1
,2008,1
,2009,1
,2013,1
,2015,1
,2022,1
Kenya Total,,6
Kuwait,2001,1
Kuwait Total,,1
Kyrgyzstan,2003,1
,2007,1
Kyrgyzstan Total,,2
Latvia,2001,1
Latvia Total,,1
Lebanon,1992,2
,1993,1
,1999,1
,2005,2
,2006,2
,2010,1
,2012,1
,2021,1
Lebanon Total,,11
Liberia,2020,1
Liberia Total,,1
Libya,2005,1
,2011,6
,2013,1
,2014,1
,2015,1
,2016,3
,2018,1
,2019,1
Libya Total,,15
Lithuania,1993,1
Lithuania Total,,1
Madagascar,1994,1
,2009,1
Madagascar Total,,2
Maldives,2014,1
,2017,1
Maldives Total,,2
Mali,2013,2
Mali Total,,2
Malta,2017,1
Malta Total,,1
Mexico,1994,3
,1995,1
,1997,3
,1998,2
,2000,2
,2001,1
,2004,4
,2005,2
,2006,7
,2007,7
,2008,6
,2009,8
,2010,10
,2011,8
,2012,6
,2013,3
,2014,3
,2015,5
,2016,9
,2017,9
,2018,10
,2019,11
,2020,9
,2021,9
,2022,13
Mexico Total,,151
Montenegro,2004,1
Montenegro Total,,1
Mozambique,2000,1
,2015,1
Mozambique Total,,2
Myanmar,1999,2
,2007,1
,2014,1
,2016,1
,2017,1
,2021,2
,2022,2
Myanmar Total,,10
Nepal,2000,1
,2002,3
,2003,2
,2004,1
,2005,1
,2007,3
,2008,1
,2009,1
,2010,3
,2012,1
Nepal Total,,17
Netherlands,2021,1
Netherlands Total,,1
Nicaragua,2004,2
,2018,1
Nicaragua Total,,3
Nigeria,1996,2
,1998,2
,1999,4
,2006,1
,2008,2
,2009,1
,2010,3
,2011,1
,2012,2
,2013,1
,2017,1
,2019,1
,2020,3
Nigeria Total,,24
Pakistan,1994,2
,1997,1
,1998,1
,1999,1
,2000,1
,2001,1
,2002,2
,2003,1
,2004,1
,2005,2
,2006,3
,2007,5
,2008,6
,2009,8
,2010,11
,2011,11
,2012,9
,2013,8
